measurementSiteReference,measurementTimeDefault,TrafficFlow,TrafficConcentration,TrafficSpeed,numberOfInputValuesUsed
MWn44.G1,2021-03-05T12:59:00+01:00,34,4,75,34
MWn44.G2,2021-03-05T12:59:00+01:00,23,10,23,23
MWl44.B2,2021-03-05T12:59:00+01:00,38,5,74,38
MWl44.B1,2021-03-05T12:59:00+01:00,56,6,71,56
MWN44.B1,2021-03-05T12:59:00+01:00,26,5,,26
MWN44.B2,2021-03-05T12:59:00+01:00,33,7,73,33
MWN44.C1,2021-03-05T12:59:00+01:00,29,4,75,29
MWN44.C2,2021-03-05T12:59:00+01:00,26,3,72,26
MWN44.D1,2021-03-05T12:59:00+01:00,27,6,80,27
MWN44.D2,2021-03-05T12:59:00+01:00,23,4,79,23
MWN44.E2,2021-03-05T12:59:00+01:00,30,3,78,30
MWN44.E1,2021-03-05T12:59:00+01:00,43,3,87,43
MWN44.I2,2021-03-05T12:59:00+01:00,24,4,85,24
MWN44.I1,2021-03-05T12:59:00+01:00,28,5,84,28
MWL44.L2,2021-03-05T12:59:00+01:00,0,0,0,0
MWL44.L1,2021-03-05T12:59:00+01:00,0,0,0,0
MWN44.J2,2021-03-05T12:59:00+01:00,60,6,68,60
MWN44.J1,2021-03-05T12:59:00+01:00,53,5,89,53
MWN44.L1,2021-03-05T12:59:00+01:00,34,3,90,34
MWN44.L2,2021-03-05T12:59:00+01:00,53,6,84,53
MWL44.a2,2021-03-05T12:59:00+01:00,50,5,87,50
MWL44.a1,2021-03-05T12:59:00+01:00,38,4,86,38
MWn44.E1,2021-03-05T12:59:00+01:00,22,2,88,22
MWn44.E2,2021-03-05T12:59:00+01:00,31,3,95,31
MWn44.C2,2021-03-05T12:59:00+01:00,32,4,88,32
MWn44.C1,2021-03-05T12:59:00+01:00,50,6,88,50
MWn44.M2,2021-03-05T12:59:00+01:00,35,4,86,35
MWn44.M1,2021-03-05T12:59:00+01:00,37,4,93,37
MWL44.b2,2021-03-05T12:59:00+01:00,35,5,87,35
MWL44.b1,2021-03-05T12:59:00+01:00,42,8,87,42
MWN44.Q2,2021-03-05T12:59:00+01:00,27,10,80,27
MWN44.Q1,2021-03-05T12:59:00+01:00,21,6,80,21
MWN44.R2,2021-03-05T12:59:00+01:00,51,4,90,51
MWN44.R1,2021-03-05T12:59:00+01:00,14,1,79,14
MWN44.T2,2021-03-05T12:59:00+01:00,0,0,0,0
MWN44.T1,2021-03-05T12:59:00+01:00,5,1,0,5
MWL44.K2,2021-03-05T12:59:00+01:00,42,7,66,42
MWL44.K1,2021-03-05T12:59:00+01:00,49,5,81,49
MWL44.Y2,2021-03-05T12:59:00+01:00,41,9,85,41
MWL44.Y1,2021-03-05T12:59:00+01:00,19,6,97,19
MWL44.X1,2021-03-05T12:59:00+01:00,39,7,87,39
MWN44.U1,2021-03-05T12:59:00+01:00,46,8,30,46
MWN44.V2,2021-03-05T12:59:00+01:00,40,3,86,40
MWN44.V1,2021-03-05T12:59:00+01:00,41,5,82,41
MWL44.V1,2021-03-05T12:59:00+01:00,23,4,84,23
MWN44.W2,2021-03-05T12:59:00+01:00,42,4,95,42
MWN44.W1,2021-03-05T12:59:00+01:00,41,4,87,41
MWL44.U2,2021-03-05T12:59:00+01:00,37,4,93,37
MWL44.U1,2021-03-05T12:59:00+01:00,41,4,86,41
MWN44.X2,2021-03-05T12:59:00+01:00,45,4,95,45
MWN44.X1,2021-03-05T12:59:00+01:00,38,3,94,38
MWL44.J2,2021-03-05T12:59:00+01:00,41,8,75,41
MWn44.H2,2021-03-05T12:59:00+01:00,34,3,86,34
MWn44.H1,2021-03-05T12:59:00+01:00,0,0,0,0
MWL44.21,2021-03-05T12:59:00+01:00,18,1,95,18
MWL44.22,2021-03-05T12:59:00+01:00,23,2,80,23
MWL44.41,2021-03-05T12:59:00+01:00,25,2,92,25
MWL44.42,2021-03-05T12:59:00+01:00,23,3,93,23
MWL44.Q1,2021-03-05T12:59:00+01:00,23,4,86,23
MWn44.I2,2021-03-05T12:59:00+01:00,15,2,103,15
MWn44.I1,2021-03-05T12:59:00+01:00,27,3,99,27
MWL44.62,2021-03-05T12:59:00+01:00,48,6,92,48
MWL44.11,2021-03-05T12:59:00+01:00,44,5,91,44
MWL44.12,2021-03-05T12:59:00+01:00,42,4,95,42
MWn44.F1,2021-03-05T12:59:00+01:00,36,4,96,36
MWn44.F2,2021-03-05T12:59:00+01:00,30,3,104,30
MWL44.d2,2021-03-05T12:59:00+01:00,25,3,98,25
MWL44.d1,2021-03-05T12:59:00+01:00,36,4,100,36
MWN44.O1,2021-03-05T12:59:00+01:00,36,9,72,36
MWN44.O2,2021-03-05T12:59:00+01:00,16,2,82,16
MWN44.P2,2021-03-05T12:59:00+01:00,36,7,75,36
MWN44.P1,2021-03-05T12:59:00+01:00,27,5,73,27
MWL44.S2,2021-03-05T12:59:00+01:00,0,0,0,0
MWL44.S1,2021-03-05T12:59:00+01:00,32,7,88,32
MWN44.M1,2021-03-05T12:59:00+01:00,28,5,88,28
MWN44.M2,2021-03-05T12:59:00+01:00,43,7,91,43
MWn44.J1,2021-03-05T12:59:00+01:00,43,8,84,43
MWn44.J2,2021-03-05T12:59:00+01:00,38,7,82,38
MWn44.B2,2021-03-05T12:59:00+01:00,40,8,87,40
MWn44.B1,2021-03-05T12:59:00+01:00,40,7,90,40
MWN44.U2,2021-03-05T12:59:00+01:00,17,4,92,17
MWL44.S4,2021-03-05T12:59:00+01:00,0,0,0,0
MWL44.S3,2021-03-05T12:59:00+01:00,21,4,55,21
MWL44.Q2,2021-03-05T12:59:00+01:00,33,9,62,33
